temperature,wind,gust,cloud,humidity,weather
28,8,12,76,72,Rain
26,6,9,32,78,Rain
30,6,8,65,66,Rain
28,6,9,75,74,Rain
26,5,8,38,78,Rain
31,6,8,77,60,Rain
29,9,13,82,71,Rain
27,8,12,43,78,Rain
26,5,8,34,78,Rain
27,8,12,78,78,Rain
26,7,11,63,83,Rain
26,3,5,75,84,Rain
28,10,22,62,81,Rain
26,9,17,71,87,Rain
25,7,11,85,88,Rain
25,6,10,47,91,Rain
28,7,14,81,79,Rain
26,7,13,78,85,Rain
26,5,7,76,86,Rain
25,5,7,35,89,Rain
28,9,14,76,75,Rain
26,7,11,80,84,Rain
26,5,6,81,87,Rain
25,6,8,38,90,Rain
28,7,11,66,75,Rain
23,6,10,26,80,Rain
27,7,11,25,77,Rain
27,8,12,47,77,Rain
