temperature,wind,gust,cloud,humidity,weather
29,10,18,43,80,Rain
29,6,11,77,80,Rain
31,9,12,45,65,Rain
31,15,23,78,64,Rain
29,10,15,56,72,Rain
28,7,10,84,81,Rain
28,8,9,81,79,Rain
33,12,19,63,56,Rain
33,16,21,52,58,Rain
30,14,23,54,72,Rain
29,9,18,65,78,Rain
29,7,12,79,79,Rain
28,6,9,37,81,Rain
31,13,18,84,68,Rain
30,10,15,47,75,Rain
32,14,27,92,67,Rain
30,12,25,90,77,Rain
28,13,23,85,81,Rain
32,17,20,87,62,Rain
33,14,17,45,61,Rain
29,12,21,45,81,Rain
28,12,19,83,86,Rain
28,14,27,86,82,Rain
30,18,26,66,72,Rain
30,19,23,67,67,Rain
29,15,19,61,70,Rain
35,13,15,75,54,Rain
34,13,19,85,55,Rain
31,13,24,84,71,Rain
29,13,23,86,79,Rain
28,13,21,82,82,Rain
28,11,19,74,86,Rain
28,10,22,74,82,Rain
31,14,21,80,67,Rain
34,16,20,63,56,Rain
33,15,28,69,64,Rain
31,9,21,78,73,Rain
29,10,18,81,79,Rain
28,12,19,85,84,Rain
28,11,18,41,85,Rain
33,15,17,49,57,Rain
31,13,24,53,69,Rain
29,11,19,55,77,Rain
29,10,16,53,80,Rain
32,18,37,67,66,Rain
28,21,45,80,78,Rain
24,13,24,72,80,Rain
26,4,7,55,82,Rain
28,3,4,69,81,Rain
31,12,14,59,69,Rain
31,13,21,57,69,Rain
28,15,23,61,83,Rain
28,15,26,48,82,Rain
31,21,31,60,68,Rain
23,11,20,62,85,Rain
25,7,9,58,89,Rain
29,13,16,72,75,Rain
28,15,24,65,78,Rain
26,8,11,69,84,Rain
31,13,18,43,66,Rain
31,9,14,41,73,Rain
34,9,10,71,57,Rain
32,7,12,76,71,Rain
30,6,11,87,78,Rain
29,7,10,83,81,Rain
28,5,8,46,83,Rain
32,6,12,88,64,Rain
32,11,16,82,66,Rain
30,10,14,81,75,Rain
28,9,13,75,84,Rain
27,7,10,79,87,Rain
27,7,9,94,87,Rain
27,3,4,47,86,Rain
32,17,24,83,64,Rain
30,16,25,77,75,Rain
28,13,19,75,82,Rain
27,12,18,45,85,Rain
32,12,14,47,60,Rain
31,12,16,84,71,Rain
29,10,15,56,79,Rain
33,12,19,86,61,Rain
30,13,25,83,74,Rain
28,12,20,83,81,Rain
28,11,17,40,85,Rain
28,8,9,89,83,Rain
31,10,12,46,68,Rain
32,18,28,72,72,Rain
29,15,24,75,78,Rain
27,12,18,85,81,Rain
27,11,15,81,84,Rain
27,13,18,85,82,Rain
28,19,26,78,75,Rain
28,20,26,82,72,Rain
29,18,23,47,71,Rain
27,15,26,62,84,Rain
29,22,36,78,74,Rain
31,24,40,85,63,Rain
31,24,38,75,62,Rain
28,17,27,60,73,Rain
27,13,20,65,81,Rain
27,11,17,78,85,Rain
27,7,11,47,86,Rain
32,18,26,62,61,Rain
30,14,23,65,70,Rain
28,13,21,36,77,Rain
30,19,28,79,72,Rain
32,24,44,62,63,Rain
31,21,33,77,62,Rain
30,13,21,71,67,Rain
28,13,21,51,76,Rain
30,21,25,77,67,Rain
32,26,33,72,58,Rain
31,21,32,80,65,Rain
28,16,27,75,76,Rain
27,15,23,68,83,Rain
30,22,38,84,73,Rain
30,21,37,80,72,Rain
28,21,41,80,79,Rain
27,16,31,86,83,Rain
26,10,18,75,85,Rain
26,11,18,75,86,Rain
26,14,21,57,82,Rain
27,19,31,60,76,Rain
27,15,22,42,76,Rain
31,13,15,45,66,Rain
29,13,20,82,75,Rain
28,10,17,86,82,Rain
27,9,16,84,86,Rain
26,7,11,85,88,Rain
27,4,6,40,86,Rain
31,15,24,79,63,Rain
30,18,30,76,67,Rain
29,14,23,83,75,Rain
27,10,17,85,82,Rain
27,9,15,59,85,Rain
26,6,11,55,87,Rain
30,11,14,75,71,Rain
32,16,22,83,61,Rain
31,15,28,62,66,Rain
29,11,23,52,75,Rain
28,10,18,74,81,Rain
27,10,17,82,84,Rain
26,9,14,52,87,Rain
30,10,12,34,71,Rain
32,15,25,81,63,Rain
30,14,30,87,75,Rain
28,12,21,76,83,Rain
27,11,16,79,87,Rain
26,12,17,55,89,Rain
